Input Dimension/accuracy(in %),centralized,singleworker,multiworker 
60,98.67,98.71,98.76
65,98.73,98.72,98.92
70,98.54,98.55,98.85
75,98.43,98.39,98.8
80,98.75,98.74,98.93
,,,
Input Dimension/precision:,centralized,singleworker,multiworker
60,0.974,0.975,0.976
65,0.975,0.975,0.979
70,0.971,0.972,0.977
75,0.969,0.969,0.976
80,0.975,0.975,0.979
,,,
Input Dimension/Recall,centralized,singleworker,multiworker
60,0.999840043,0.999840043,0.999840043
65,0.999834118,0.999834118,0.999804497
70,0.999840043,0.999834118,0.999804497
75,0.999816345,0.999828194,0.999786724
80,0.999786724,0.999798572,0.999763026
,,,
Input Dimension/f1-Score,centralized,singleworker,multiworker
60,0.99,0.99,0.99
65,0.99,0.99,0.99
70,0.99,0.99,0.99
75,0.99,0.99,0.99
80,0.99,0.99,0.99
,,,
Loss/Epoch/Input Dimension: 60,centralized,singleworker,multiworker
0,0.51,0.528,0.586
1,0.368,0.372,0.558
2,0.354,0.357,0.549
3,0.349,0.351,0.468
4,0.341,0.348,0.427
5,0.295,0.332,0.404
6,0.265,0.285,0.374
7,0.254,0.265,0.351
,,,
Loss/Epoch/Input Dimension: 65,centralized,singleworker,multiworker
0,0.595,0.605,0.607
1,0.39537,0.422,0.577
2,0.38263,0.386,0.49
3,0.37373,0.374,0.447
4,0.37034,0.368,0.425
5,0.35953,0.3456,0.399
6,0.3051,0.294,0.389
7,0.28165,0.275,0.37
,,,
Loss/Epoch/Input Dimension: 70,centralized,singleworker,multiworker
0,0.60028,0.543,0.61
1,0.46147,0.402,0.569
2,0.39632,0.384,0.47
3,0.37962,0.38,0.441
4,0.36197,0.372,0.431
5,0.30238,0.315,0.424
6,0.28074,0.281,0.417
7,0.27382,0.272,0.397
,,,
Loss/Epoch/Input Dimension: 75,centralized,singleworker,multiworker
0,0.61854,0.593,0.64
1,0.43273,0.431,0.617
2,0.41901,0.415,0.531
3,0.41395,0.411,0.48
4,0.41132,0.399,0.469
5,0.39544,0.328,0.46
6,0.324,0.3,0.449
7,0.30318,0.293,0.432
,,,
Loss/Epoch/Input Dimension: 80,centralized,singleworker,multiworker
0,0.67511,0.658,0.76
1,0.51649,0.4898,0.725
2,0.48607,0.4698,0.592
3,0.47113,0.406,0.546
4,0.45211,0.358,0.548
5,0.38281,0.346,0.543
6,0.35271,0.339,0.536
7,0.34218,0.334,0.512
